ID,name,gwp,declared_unit,category
ec3uj6jp,ACC Concrete+ Xtra Strong Cement,732 kgCO2e,1000 kg,Cement
ec3k8r1n,ACC Concrete+ Xtra Strong Cement,814 kgCO2e,1000 kg,Cement
ec3gr06m,ACC Concrete+ Xtra Strong Cement,844 kgCO2e,1000 kg,Cement
ec3dq4fk,ACC Concrete+ Xtra Strong Cement,890 kgCO2e,1000 kg,Cement
ec3hthyu,ACC Concrete+ Xtra Strong Cement,801 kgCO2e,1000 kg,Cement
ec3kj2d4,ACC Concrete+ Xtra Strong Cement,742 kgCO2e,1000 kg,Cement
ec3y5129,ACC Concrete+ Xtra Strong Cement,809 kgCO2e,1000 kg,Cement
ec3bxee2,ACC F2R Superfast Cement,646 kgCO2e,1000 kg,Cement
ec3zxsj1,ACC F2R Superfast Cement,633 kgCO2e,1000 kg,Cement
ec3xr1bz,ACC F2R Superfast Cement,768 kgCO2e,1000 kg,Cement
ec3ae6c0,ACC F2R Superfast Cement,546 kgCO2e,1000 kg,Cement
ec34x7p7,ACC F2R Superfast Cement,930 kgCO2e,1000 kg,Cement
ec3sfn94,ACC F2R Superfast Cement,665 kgCO2e,1000 kg,Cement
ec3sqwnk,ACC F2R Superfast Cement,531 kgCO2e,1000 kg,Cement
ec3er2yw,ACC F2R Superfast Cement,616 kgCO2e,1000 kg,Cement
ec3u0j8j,ACC Gold Water Shield Cement,686 kgCO2e,1000 kg,Cement
ec3j2c7d,ACC Gold Water Shield Cement,709 kgCO2e,1000 kg,Cement
ec3c4xhn,ACC Gold Water Shield Cement,681 kgCO2e,1000 kg,Cement
ec38sb6k,ACC HPC Long Life Cement,467 kgCO2e,1000 kg,Cement
ec3t4xqj,ACC HPC Long Life Cement,550 kgCO2e,1000 kg,Cement
ec3kmg78,ACC HPC Long Life Cement,552 kgCO2e,1000 kg,Cement
ec3akfb2,ACC HPC Long Life Cement,433 kgCO2e,1000 kg,Cement
ec3tjwn4,ACC HPC Long Life Cement,439 kgCO2e,1000 kg,Cement
ec3zr79d,ACC HPC Long Life Cement,601 kgCO2e,1000 kg,Cement
ec3pk1eg,ACC HPC Long Life Cement,433 kgCO2e,1000 kg,Cement
ec3g99u7,ACC HPC Long Life Cement,679 kgCO2e,1000 kg,Cement
ec3z1f17,ACC Suraksha Power Cement,661 kgCO2e,1000 kg,Cement
ec3h4eb2,ACC Suraksha Power Cement,992 kgCO2e,1000 kg,Cement
ec3zwyk0,ACC Suraksha Power Cement,775 kgCO2e,1000 kg,Cement
ec327epg,ACC Suraksha Power Cement,688 kgCO2e,1000 kg,Cement
ec3ecnb7,ACC Suraksha Power Cement,1110 kgCO2e,1000 kg,Cement
ec3baebt,ACC Suraksha Power Cement,710 kgCO2e,1000 kg,Cement
ec3k9udz,ACC Suraksha Power Cement,675 kgCO2e,1000 kg,Cement
ec3yp9jp,ACC Suraksha Power Cement,689 kgCO2e,1000 kg,Cement
ec3zzuhf,ACC Suraksha Power Cement,837 kgCO2e,1000 kg,Cement
ec3bka2x,ACC Suraksha Power Cement,848 kgCO2e,1000 kg,Cement
ec32m412,ACC Suraksha Power Cement,709 kgCO2e,1000 kg,Cement
ec3wza9k,ACC Suraksha Power Cement,692 kgCO2e,1000 kg,Cement
ec3fbubk,Average PPC and PSC Cement,688 kgCO2e,1000 kg,Cement
